"","id","titulo","descricao","publicadoEm","data","hora","aoVivo","idCanal","nomeCanal","visualizacoes","curtidas","descurtidas","favoritos","comentarios","categoryId","defaultAudioLanguage","categoria","faturamento"
"1","_GuOjXYl5ew","YouTube Rewind: The Ultimate 2016 Challenge | #YouTubeRewind","YouTube Rewind 2016. Celebrating the videos, people, music and moves that made 2016. #YouTubeRewind Spend more time with your favorite creators, ...",2016-12-07 18:00:03,2016-12-07,64800,"none","UCBR8-60-B28hp2BmDPdntcQ","YouTube Spotlight",200076804,3097566,488281,0,677755,25,"en","Notícias e Política",2e+05
"2","iCkYw3cRwLo","Rewind YouTube Style 2012","WATCH THE 2014 VIDEO: http://yt.be/rewind We invited some YouTubers to star in a mash-up of culturally defining moments of 2012. Can you spot all the ...",2012-12-18 04:53:05,2012-12-18,17580,"none","UCBR8-60-B28hp2BmDPdntcQ","YouTube Spotlight",185295874,1196100,76056,0,212638,24,NA,"Entretenimento",185000
"3","KK9bwTlAvgo","YouTube Rewind: Now Watch Me 2015 | #YouTubeRewind","YouTube Rewind 2015. Celebrating the videos, people, music and moves that made 2015. #YouTubeRewind Watch the year's trending videos: ...",2015-12-09 18:00:42,2015-12-09,64800,"none","UCBR8-60-B28hp2BmDPdntcQ","YouTube Spotlight",127726235,2383365,178274,0,445516,24,"en","Entretenimento",127000
"4","H7jtC8vjXw8","YouTube Rewind: What Does 2013 Say?","To celebrate 2013, we invited some YouTubers to star in a mashup of popular moments this year. Can you spot all the references? WATCH THE TOP VIDEOS ...",2013-12-11 08:00:01,2013-12-11,28800,"none","UCBR8-60-B28hp2BmDPdntcQ","YouTube Spotlight",123454932,1243256,67158,0,169486,24,"en","Entretenimento",123000
"5","zKx2B8WCQuw","YouTube Rewind: Turn Down for 2014","YouTube Rewind 2014. Celebrating the moments, memes, and people that made 2014. #YouTubeRewind WATCH 2014'S TOP VIDS: http://yt.be/rewind ...",2014-12-09 17:57:35,2014-12-09,64620,"none","UCBR8-60-B28hp2BmDPdntcQ","YouTube Spotlight",120372625,1337080,67659,0,183602,24,"en","Entretenimento",120000
"6","0KSOMA3QBU0","Katy Perry - Dark Horse (Official) ft. Juicy J","Get ""Dark Horse"" from Katy Perry's 'PRISM': http://katy.to/PRISM WITNESS: The Tour tickets available now! https://www.katyperry.com/tour Directed by Matthew ...",2014-02-20 20:00:03,2014-02-20,72000,"none","UC-8Q-hLdECwQmaWNwXitYDw","KatyPerryVEVO",2126370507,6255046,820668,0,496615,10,NA,"Música",2126000
"7","QGJuMBdaqIw","Katy Perry - Firework (Official)","Get <U+0093>Firework<U+0094> from Katy Perry's 'Teenage Dream': http://katy.to/TeenageDream WITNESS: The Tour tickets available now! https://www.katyperry.com/tour ...",2010-10-28 19:37:50,2010-10-28,70620,"none","UC-8Q-hLdECwQmaWNwXitYDw","KatyPerryVEVO",1050659055,3195222,182843,0,424191,10,NA,"Música",1050000
"8","KlyXNRrsk4A","Katy Perry - Last Friday Night (T.G.I.F.) (Official)","You're invited to the party of the year! Find out what happened to Kathy Beth Terry in the official music video for Katy Perry's <U+0093>Last Friday Night (T.G.I.F.)<U+0094> featuring ...",2011-06-12 23:00:00,2011-06-12,82800,"none","UC-8Q-hLdECwQmaWNwXitYDw","KatyPerryVEVO",1010537785,3113413,276751,0,352708,10,NA,"Música",1010000
"9","k0BWlvnBmIE","Katy Perry - Wide Awake (Official)","Get <U+0093>Wide Awake<U+0094> from Katy Perry's 'Teenage Dream: The Complete Confection': http://katy.to/TeenageDream WITNESS: The Tour tickets available now!",2012-06-18 23:53:07,2012-06-18,85980,"none","UC-8Q-hLdECwQmaWNwXitYDw","KatyPerryVEVO",774709414,2517633,146070,0,215469,10,NA,"Música",774000
"10","kTHNpusq654","Katy Perry - Hot N Cold (Official)","Get <U+0093>Thinking Of You<U+0094> from Katy Perry's 'One of the Boys'': http://katy.to/OneOfTheBoys WITNESS: The Tour tickets available now! https://www.katyperry.com/tour ...",2008-10-14 02:07:26,2008-10-14,7620,"none","UC-8Q-hLdECwQmaWNwXitYDw","KatyPerryVEVO",720790821,2110726,122148,0,119685,10,NA,"Música",720000
